title,category,price,description,images,url
Seat Ibiza 1.9TDI | 1.8Fr | 1.8Cupra 6L – Lowering Springs – Front 45mm – Rear 45mm,Lowering Springs,179.99,SEAT IBIZA 1.9TDI/1.8FR/1.8CUPRA - 6L - 04/2002 to 02/2008,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/lowering-springs/seat-ibiza-1-9tdi-1-8fr-1-8cupra-6l-lowering-springs-front-45mm-rear-45mm/
Toyota MR2 1.6 16V W1 – Lowering Springs – Front 35mm – Rear 35mm,Lowering Springs,179.99,TOYOTA MR2 1.6 16V - W1 - 11/1984 to 06/1990,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/lowering-springs/toyota-mr2-1-6-16v-w1-lowering-springs-front-35mm-rear-35mm/
Audi TT Quattro Coupe + Roadster 3.2 – Lowering Springs – Front 30mm – Rear 25mm,Lowering Springs,199.99,Audi TT Quattro Coupe + Roadster 3.2 - 10/2006+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/lowering-springs/audi-tt-quattro-coupe-roadster-3-2-lowering-springs-front-30mm-rear-25mm/
Toyota GR Yaris 1.6 2020+ – Direnza Lowering Springs – Front: 30 / Rear: 30,Lowering Springs,209.99,"A set of Front 30mm, Rear 30mm Gravity Performance Lowering Springs for the Toyota GR Yaris 1.6 2020+​ is one of the easiest ways to significantly improve the looks and handling characteristics of your car. A simple, but hugely effective modification. Lowering your vehicles ride height reduces weight transfer under hard acceleration and braking, whilst also reducing body roll and drastically improving your cars visual appeal. Better still, Direnza Performance Lowering Springs feature progressive rates, so you won't be forfeiting comfort in pursuit of performance. Direnza Performance Springs offer: Lower Centre of Gravity | Improved looks | Progressive Spring Rates | Corrosion Resistant Red Coating | Excellent Value for Money | 5-Year Warranty.","https://www.gravityperformance.co.uk/wp-content/uploads/2026/03/1-black-scaled.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2026/03/2-black-scaled.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2026/03/3-black-scaled.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2026/03/4-black-scaled.jpg",https://www.gravityperformance.co.uk/lowering-springs/toyota-gr-yaris-1-6-gen-1-2020-direnza-lowering-springs-front-30-rear-30/
VW Golf VII GTI/GTD Hatchback Au 04/2013- – Lowering Springs – Front: 25 / Rear: 25,Lowering Springs,169.99,GOLF VII GTI/GTD HATCHBACK AU 04/2013-,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/lowering-springs/vw-golf-vii-gti-gtd-hatchback-au-04-2013-lowering-springs-front-25-rear-25/
BMW 3 Series Touring 6Cyl E30 – 40mm Lowering Springs,Lowering Springs,179.99,BMW 3 Touring 6CYL - E30 - 1988 to 04/1995,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/lowering-springs/bmw-3-touring-6cyl-e30-lowering-springs-front-40mm-rear-40mm/
BMW 5 Series Sedan 535I | 540I E34 – Lowering Springs – Front 50mm – Rear 35mm,Lowering Springs,199.99,BMW 5H SEDAN 535i/540i - E34 - 01/1988 to 12/1995,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/lowering-springs/bmw-5-series-sedan-535i-540i-e34-lowering-springs-front-50mm-rear-35mm/
Alfa GT 3.2 V6 | 1.9Jtd 937 – 30mm Lowering Springs,Lowering Springs,199.99,Alfa GT 3.2 V6/1.9jTD - 937 - 2004 to 01/2011,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/lowering-springs/alfa-gt-3-2-v6-1-9jtd-937-lowering-springs-front-30mm-rear-30mm/
VW Passat 2.0TDI 3C – Lowering Springs – Front 30mm – Rear 30mm,Lowering Springs,179.99,VW PASSAT 2.0TDI - 3C - 2005 to 11/2010,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/lowering-springs/vw-passat-2-0tdi-3c-lowering-springs-front-30mm-rear-30mm/
BMW Z4 Roadster 2.0 E85 – Lowering Springs – Front 30mm – Rear 30mm,Lowering Springs,179.99,BMW Z4 ROADSTER 2.0 - Z85 - 2005 to 04/2009,"https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/products-httpsi.ebayimg.comimagesgvboaaoswozpa30z4s-l1600.jpg",https://www.gravityperformance.co.uk/lowering-springs/bmw-z4-roadster-2-0-e85-lowering-springs-front-30mm-rear-30mm/
