id,name,type,categ_id,default_code,barcode,list_price,standard_price,weight,description,image_1920,image,Extra Product Media/Name
1,Seat Ibiza 1.9TDI | 1.8Fr | 1.8Cupra 6L – Lowering Springs – Front 45mm – Rear 45mm,GOODS,Lowering Springs,,,179.99,0,0.01,SEAT IBIZA 1.9TDI/1.8FR/1.8CUPRA - 6L - 04/2002 to 02/2008,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
2,Toyota MR2 1.6 16V W1 – Lowering Springs – Front 35mm – Rear 35mm,GOODS,Lowering Springs,,,179.99,0,0.01,TOYOTA MR2 1.6 16V - W1 - 11/1984 to 06/1990,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
3,Audi TT Quattro Coupe + Roadster 3.2 – Lowering Springs – Front 30mm – Rear 25mm,GOODS,Lowering Springs,,,199.99,0,0.01,Audi TT Quattro Coupe + Roadster 3.2 - 10/2006+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
4,Toyota GR Yaris 1.6 2020+ – Direnza Lowering Springs – Front: 30 / Rear: 30,GOODS,Lowering Springs,,,209.99,0,0.01,"A set of Front 30mm, Rear 30mm Gravity Performance Lowering Springs for the Toyota GR Yaris 1.6 2020+​ is one of the easiest ways to significantly improve the looks and handling characteristics of your car. A simple, but hugely effective modification. Lowering your vehicles ride height reduces weight transfer under hard acceleration and braking, whilst also reducing body roll and drastically improving your cars visual appeal. Better still, Direnza Performance Lowering Springs feature progressive rates, so you won't be forfeiting comfort in pursuit of performance. Direnza Performance Springs offer: Lower Centre of Gravity | Improved looks | Progressive Spring Rates | Corrosion Resistant Red Coating | Excellent Value for Money | 5-Year Warranty.",https://www.gravityperformance.co.uk/wp-content/uploads/2026/03/1-black-scaled.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2026/03/1-black-scaled.jpg,Main Image
5,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2026/03/2-black-scaled.jpg,Gallery Image 1
6,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2026/03/3-black-scaled.jpg,Gallery Image 2
7,VW Golf VII GTI/GTD Hatchback Au 04/2013- – Lowering Springs – Front: 25 / Rear: 25,GOODS,Lowering Springs,,,169.99,0,0.01,GOLF VII GTI/GTD HATCHBACK AU 04/2013-,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
8,BMW 3 Series Touring 6Cyl E30 – 40mm Lowering Springs,GOODS,Lowering Springs,,,179.99,0,0.01,BMW 3 Touring 6CYL - E30 - 1988 to 04/1995,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
9,BMW 5 Series Sedan 535I | 540I E34 – Lowering Springs – Front 50mm – Rear 35mm,GOODS,Lowering Springs,,,199.99,0,0.01,BMW 5H SEDAN 535i/540i - E34 - 01/1988 to 12/1995,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
10,Alfa GT 3.2 V6 | 1.9Jtd 937 – 30mm Lowering Springs,GOODS,Lowering Springs,,,199.99,0,0.01,Alfa GT 3.2 V6/1.9jTD - 937 - 2004 to 01/2011,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
