id,title,category,price,description,images,url
1,Universal Exhaust Lambda 02 Sensor Spacer,Exhaust,14.99,A lambda spacer is a great way to avoid that annoying check engine light when you make modifications to your exhaust system. Direct bolt on design for ease of fitment Please note this will aid in stopping the light coming on but you may need to reset your ECU to turn the light off first Fits between your lambda sensor and the exhaust to stop the EML coming on when fitting a decat to your vehicle Manufactured from high quality grade steel M18 X 1.5mm thread,"https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/ZZ03627-01.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/ZZ03627-06.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/ZZ03627-02.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/ZZ03627-03.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/ZZ03627-04.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/ZZ03627-05.jpg",https://www.gravityperformance.co.uk/exhaust/universal-exhaust-lambda-02-sensor-spacer/
2,90° Lambda Fooler Adapter – Universal,Exhaust,14.99,M18 x 1.5mm threads Manufactured from high quality steel Fits between your lambda sensor and the exhaust to stop the light coming on when fitting a decat to your vehicle Direct bolt on design for ease of fitment Please note this will stop the light coming on but you may need to reset your ECU to turn the light off first.,"https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03626-01-copy-wpp1652863390364.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03626-02.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03626-03.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03626-04.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03626-05.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03626-06.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03626-07.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03626-08.jpg",https://www.gravityperformance.co.uk/exhaust-accessories/90-lambda-fooler-adapter-universal/
3,3″ Catback Exhaust System – Audi TT MK1 8N 1.8T 225 98-06,Exhaust,339.99,"Manufactured from high quality T304 polished stainless steel Free flowing system to get the most from the 225bhp BAM engine 4"" Polished tailpipes to fit the OEM rear valance Designed to improve power and torque across the entire RPM range Noticeably improves throttle response","https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXES143-01-wpp1652803391817.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXES143-04.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXES143-05.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXES143-06.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXES143-07.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXES143-08.jpg",https://www.gravityperformance.co.uk/exhaust-systems/3-catback-exhaust-system-audi-tt-mk1-8n-1-8t-225-98-06/
4,Decat Downpipe – VW Golf MK6 R / Audi A3 8P S3 2.0 TFSI,Exhaust,139.99,"Gravity Performance decats instantly increase power by allowing exhaust gasses to exit the vehicle quicker. Our decats are designed to be direct replacements for the OEM catalytic converter, ensuring smooth installation every time. Manufactured from the highest quality T304 grade stainless steel, mandrel bent and fully TIG welded for strength and durability. CNC machined flanges for strong, solid support and an accurate fit, designed to improve power and torque across the entire RPM range. Noticeably improves the throttle response from the 2.0 TFSI engine. One of the most cost-effective and common ways of releasing power from your 2.0 TFSI","https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/EXDC062-02.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/EXDC062-08.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/EXDC062.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/EXDC062-03.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/EXDC062-04.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/EXDC062-05.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/EXDC062-06.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/EXDC062-07.jpg",https://www.gravityperformance.co.uk/exhaust/decat-downpipe-vw-golf-mk6-r-audi-a3-8p-s3-2-0-tfsi/
5,Straight Lambda Fooler Adapter – Universal,Exhaust,9.99,Fits between your lambda sensor and the exhaust to stop the EML coming on when fitting a decat to your vehicle Manufactured from high quality grade steel M18 X 1.5mm thread Direct bolt on design for ease of fitment Please note this will stop the light coming on but you may need to reset your ECU to turn the light off first,"https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01738-01-wpp1652865213351.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01738-03.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01738-04.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01738-05.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01738-06.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01738-07.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01738-08.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01738-09.jpg",https://www.gravityperformance.co.uk/exhaust-accessories/straight-lambda-fooler-adapter-universal/
6,Catback Exhaust System – BMW Mini R53 Cooper S 1.6 00-06,Exhaust,299.99,"Manufactured from highest quality T304 grade stainless steel 2.5"" dividing into 2 x 2"" bore with twin 2.75"" tailpipes CNC machined flange and slip joints for strong an accurate fit Free flowing system to get the most from the super charged engine Fully polished stainless steel with stylish polished tips","https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz00398-01-wpp1652804092953.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz00398-02.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz00398-06.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz00398-07.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00398-08.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz00398-05.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz00398-04.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz00398-03.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz00398-07-Copy.jpg",https://www.gravityperformance.co.uk/exhaust-systems/2-5-catback-exhaust-system-mini-r53-cooper-s-1-6-00-06/
7,Exhaust DPF Delete Downpipe – BMW 1 Series N47 E82 / E88 & E81 / E87 07-13,Exhaust,194.99,"Manufactured from highest quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability Free flowing DPF replacement to get the most from the N47 engine Designed to improve power and torque across the entire RPM range Direct fit with OE exhaust   Gravity Performance decats are engineered to instantly increase power by allowing exhaust gases to exit the vehicle more efficiently. Designed as a direct replacement for the OEM catalytic converter and DPF, this downpipe ensures smooth installation while delivering a significant improvement in exhaust gas flow. By replacing the restrictive stock components with a free-flowing pipe, this Exhaust DPF Delete Downpipe enhances performance and unlocks the true potential of your BMW 1 Series. Please note: This is not suitable for M47 engine models Sold for off road and track use only We recommend replacing the original clamps & gaskets during install (not included)","https://www.gravityperformance.co.uk/wp-content/uploads/2025/07/EXDC057-01.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-02-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-03-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-04-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-05-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-06-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-07-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-08-1.jpg",https://www.gravityperformance.co.uk/exhaust/exhaust-dpf-delete-downpipe-bmw-1-series-n47-e82-e88-e81-e87-07-13/
8,Exhaust DPF Delete Downpipe – BMW 3 Series N47 E90 / E91 / E92 / E93 04-13,Exhaust,194.99,"Manufactured from highest quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability Free flowing DPF replacement to get the most from the N47 engine Designed to improve power and torque across the entire RPM range Direct fit with OE exhaust   Gravity Performance decats are engineered to instantly increase power by allowing exhaust gases to exit the vehicle more efficiently. Designed as a direct replacement for the OEM catalytic converter and DPF, this downpipe ensures smooth installation while delivering a significant improvement in exhaust gas flow. By replacing the restrictive stock components with a free-flowing pipe, this Exhaust DPF Delete Downpipe enhances performance and unlocks the true potential of your BMW 3 Series. Please note: This is not suitable for M47 engine models Sold for off road and track use only We recommend replacing the original clamps & gaskets during install (not included)","https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-01-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-02-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-03-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-04-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-05-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-06-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-07-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-08-1.jpg",https://www.gravityperformance.co.uk/exhaust/exhaust-dpf-delete-downpipe-bmw-3-series-n47-e90-e91-e92-e93-320d-07-15/
9,3″ Exhaust Decat Downpipe – Volkswagen Golf MK5 GTI 2.0 04-09,Exhaust,139.99,"Gravity Performance decats are made to completely replace the stock catalytic converter eliminating all restrictions. Our Performance decats improve throttle response and allow for improved exhaust flow increasing power and torque. Manufactured from high quality T304 grade stainless steel Free flowing catalyst replacement to get the most from the 2.0 TFSI 2 piece v-band clamp fitting for a better seal compared to flange & gasket as well as an easier installation Built in flexi joint helps reduce exhaust strain     3"" Exhaust Decat Downpipe compatible with VW Golf MK5 GTI 2.0T 2004-2010 models, an easier fitting replacement for the OEM downpipe and offers significant performance gains. The built-in flexi on our 3"" Exhaust Decat Downpipe ensures you get performance gains coupled with durability and reliability.","https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00205A-02.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00205A1-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00205A3-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00205A5-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00205A2-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00205A.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00205A4-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00205A-01.jpg",https://www.gravityperformance.co.uk/decats/3-exhaust-decat-downpipe-volkswagen-golf-mk5-mk6-gti-audi-a3-8p-seat-leon-cupra-r-2-0-tfsi-04-12/
10,40mm High Flow Radiator – Toyota MR2 SW20 2.0 90-95,Cooling,169.99,"Twin aluminium core will achieve up to 30% greater cooling capability than OEM Black coating designed to optimise heat dissipation, resulting in consistent lower temps Great upgrade to ensure the cooling system is operating at it's best at all time More water volume within a channel means greater cooling efficiency Designed to be a direct replacement for ease of fitment","https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01316A-BK-01-wpp1652859828800.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01316A-BK-02.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01316A-BK-03.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01316A-BK-04.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01316A-BK-05.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01316A-BK-06.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01316A-BK-07.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01316A-BK-08.jpg",https://www.gravityperformance.co.uk/radiators/40mm-high-flow-radiator-toyota-mr2-sw20-2-0-90-95/
