id,name,type,categ_id,default_code,barcode,list_price,standard_price,weight,description,image_1920,image,Extra Product Media/Name
1,Universal Exhaust Lambda 02 Sensor Spacer,GOODS,Exhaust,,,14.99,0,0.01,A lambda spacer is a great way to avoid that annoying check engine light when you make modifications to your exhaust system. Direct bolt on design for ease of fitment Please note this will aid in stopping the light coming on but you may need to reset your ECU to turn the light off first Fits between your lambda sensor and the exhaust to stop the EML coming on when fitting a decat to your vehicle Manufactured from high quality grade steel M18 X 1.5mm thread,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/ZZ03627-01.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/ZZ03627-01.jpg,Main Image
2,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/ZZ03627-06.jpg,Name 1
3,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/ZZ03627-02.jpg,Name 2
4,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/ZZ03627-03.jpg,Name 3
5,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/ZZ03627-04.jpg,Name 4
6,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/ZZ03627-05.jpg,Name 5
7,90° Lambda Fooler Adapter – Universal,GOODS,Exhaust,,,14.99,0,0.01,M18 x 1.5mm threads Manufactured from high quality steel Fits between your lambda sensor and the exhaust to stop the light coming on when fitting a decat to your vehicle Direct bolt on design for ease of fitment Please note this will stop the light coming on but you may need to reset your ECU to turn the light off first.,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03626-01-copy-wpp1652863390364.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03626-01-copy-wpp1652863390364.jpg,Main Image
8,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03626-02.jpg,Name 1
9,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03626-03.jpg,Name 2
10,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03626-04.jpg,Name 3
11,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03626-05.jpg,Name 4
12,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03626-06.jpg,Name 5
13,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03626-07.jpg,Name 6
14,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03626-08.jpg,Name 7
15,3″ Catback Exhaust System – Audi TT MK1 8N 1.8T 225 98-06,GOODS,Exhaust,,,339.99,0,0.01,"Manufactured from high quality T304 polished stainless steel Free flowing system to get the most from the 225bhp BAM engine 4"" Polished tailpipes to fit the OEM rear valance Designed to improve power and torque across the entire RPM range Noticeably improves throttle response",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXES143-01-wpp1652803391817.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXES143-01-wpp1652803391817.jpg,Main Image
16,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXES143-04.jpg,Name 1
17,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXES143-05.jpg,Name 2
18,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXES143-06.jpg,Name 3
19,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXES143-07.jpg,Name 4
20,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXES143-08.jpg,Name 5
