id,name,type,categ_id,default_code,barcode,list_price,standard_price,weight,description,image_1920,Extra Product Media/Image,Extra Product Media/Name
7b0a3b36,Front Chassis Brace – Mazda MX-5 MK1 NA / MK2 NB 1.6 1989-2005,GOODS,Chassis & Drivetrain,,,59.99,0.00,0.01,Lower brace connects both lower control arms where there is no bracing or subframe in-between to reduce flex Manufactured from highest quality and strength aluminium to help reduce weight without compromising strength Designed to reduce chassis flex to improve steering response and stability Please ensure the vehicle is parked on a level surface when installing this item SImple bolt on upgrade,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02698-01-wpp1652802156209.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02698-01-wpp1652802156209.jpg,Main Image
7b0a3b36,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02698-02.jpg,Gallery Image 1
7b0a3b36,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02698-03.jpg,Gallery Image 2
7b0a3b36,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02698-04.jpg,Gallery Image 3
7b0a3b36,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02698-05.jpg,Gallery Image 4
7b0a3b36,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02698-06.jpg,Gallery Image 5
7b0a3b36,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02698-07.jpg,Gallery Image 6
7b0a3b36,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02698-08.jpg,Gallery Image 7
1284119a,Front Strut Brace – Mazda MX5 MK1 NA 1989-1997,GOODS,Chassis & Drivetrain,,,64.99,0.00,0.01,Manufactured from highest quality and strength steel and aluminium to help reduce weight without compromising strength Designed to reduce chassis flex to improve steering response and stability Noticeably enhances steering response Please ensure the vehicle is parked on a level surface when installing this item SImple bolt on upgrade,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00524-01-wpp1652801314775.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00524-01-wpp1652801314775.jpg,Main Image
1284119a,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00524-03.jpg,Gallery Image 1
1284119a,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00524-04.jpg,Gallery Image 2
1284119a,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00524-05.jpg,Gallery Image 3
1284119a,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00524-06.jpg,Gallery Image 4
1284119a,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00524-07.jpg,Gallery Image 5
1284119a,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00524-08.jpg,Gallery Image 6
1284119a,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00524-09.jpg,Gallery Image 7
1284119a,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/mx5-mk1.jpg,Gallery Image 8
320853b9,Front & Rear Strut Brace Set – Mazda MX5 MK1 MK2 1.6 89-01,GOODS,Chassis & Drivetrain,,,89.99,0.00,0.01,Manufactured from highest quality and strength aluminium/steel to help reduce weight without compromising strength Designed to reduce chassis flex to improve steering response and stability Noticeably enhances steering response Please ensure the vehicle is parked on a level surface when installing these items SImple bolt on upgrade,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/s-l1600-7-2-wpp1652801011377.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/s-l1600-7-2-wpp1652801011377.jpg,Main Image
320853b9,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/KIT0576-03.jpg,Gallery Image 1
320853b9,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/KIT0576-08.jpg,Gallery Image 2
320853b9,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/KIT0576-07.jpg,Gallery Image 3
320853b9,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/KIT0576-06.jpg,Gallery Image 4
320853b9,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/KIT0576-05.jpg,Gallery Image 5
320853b9,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/KIT0576-04.jpg,Gallery Image 6
320853b9,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/KIT0576-09.jpg,Gallery Image 7
c2013bcb,Engine Pulley Set – Volkswagen Golf MK3 & MK4 2.8 VR6 91-99,GOODS,Chassis & Drivetrain,,,84.99,0.00,0.01,Manufactured from highest quality 6061-T6 aluminium to reduce weight without compromising strength Designed to reduce the rotating mass to improve throttle response and allow the engines to rev faster New belts are recommended when fitting under-drive pulleys Direct bolt on replacement in place of the old pulleys,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02693-01-1-wpp1652803140704.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02693-01-1-wpp1652803140704.jpg,Main Image
c2013bcb,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02693-06-1.jpg,Gallery Image 1
c2013bcb,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02693-03-1.jpg,Gallery Image 2
c2013bcb,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02693-08-1.jpg,Gallery Image 3
c2013bcb,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02693-07-1.jpg,Gallery Image 4
c2013bcb,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02693-05-1.jpg,Gallery Image 5
c2013bcb,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02693-04-1.jpg,Gallery Image 6
f18af9a1,Short Shifter – Mazda MX5 NA MK1 1.6 1.8 1989-1998,GOODS,Chassis & Drivetrain,,,29.99,0.00,0.01,Gravity Performance Short Shifters are precision designed and manufactured from CNC machined billet. Quicker shifts result in better performance as the distance is decreased between the pivot point and gear knob. Manufactured from highest quality CNC machined billet aluminium Strong bearings to increase durability and lifespan Designed to reduce gear throw by up to as much as 40% and give you a faster shift throw through the gears Please note fitting instructions are not included Direct replacement for the OEM equivalent,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00671-01-wpp1652800570565.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00671-01-wpp1652800570565.jpg,Main Image
f18af9a1,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00671-03.jpg,Gallery Image 1
f18af9a1,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00671-04.jpg,Gallery Image 2
f18af9a1,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00671-05.jpg,Gallery Image 3
f18af9a1,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00671-6.jpg,Gallery Image 4
f18af9a1,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00671-7.jpg,Gallery Image 5
f18af9a1,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00671-8.jpg,Gallery Image 6
f18af9a1,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00671-9.jpg,Gallery Image 7
c662cab8,Front Strut Brace – BMW 3 Series E36 6 Cylinder models,GOODS,Chassis & Drivetrain,,,59.99,0.00,0.01,Manufactured from highest quality and strength aluminium to help reduce weight without compromising strength Designed to reduce chassis flex to improve steering response and stability Noticeably enhances steering response Please ensure the vehicle is parked on a level surface when installing this item SImple bolt on upgrade,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00555-01-wpp1652802203762.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00555-01-wpp1652802203762.jpg,Main Image
c662cab8,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00555-02.jpg,Gallery Image 1
c662cab8,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00555-03.jpg,Gallery Image 2
c662cab8,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00555-04.jpg,Gallery Image 3
c662cab8,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00555-05.jpg,Gallery Image 4
c662cab8,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00555-06.jpg,Gallery Image 5
c662cab8,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00555-07.jpg,Gallery Image 6
c662cab8,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00555-08.jpg,Gallery Image 7
30524bb0,Black Front Strut Brace – BMW 5 Series E60 E61 03-10,GOODS,Chassis & Drivetrain,,,104.99,0.00,0.01,"Gravity Performance Strut Braces solidly mount two parts of your car together, where there would otherwise be flex. All of our braces mount to OEM fixings making installation smooth and quick. Manufactured from highest quality and strength alloy to help reduce weight without compromising strength Designed to reduce chassis flex to improve steering response and stability Noticeably enhances steering response Please ensure the vehicle is parked on a level surface when installing this item SImple bolt on upgrade",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/DGSB006-01-1-wpp1652802890506.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/DGSB006-01-1-wpp1652802890506.jpg,Main Image
30524bb0,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/DGSB006-03.jpg,Gallery Image 1
30524bb0,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/DGSB006-04.jpg,Gallery Image 2
30524bb0,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/DGSB006-09.jpg,Gallery Image 3
30524bb0,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/DGSB006-08.jpg,Gallery Image 4
30524bb0,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/DGSB006-07.jpg,Gallery Image 5
30524bb0,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/DGSB006-06.jpg,Gallery Image 6
30524bb0,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/DGSB006-05.jpg,Gallery Image 7
1512a158,Rear Subframe Brace – Mazda MX-5 MK1 NA 1.6 1.8 1989-1998,GOODS,Chassis & Drivetrain,,,49.99,0.00,0.01,Manufactured from highest quality and strength aluminium to help reduce weight without compromising strength Rear subframe brace to reduce any flex in the subframe. Improving rigidity and cornering feel Bolts to rear lower arm mounts behind the diff. Further increasing suspension rigidity Please ensure the vehicle is parked on a level surface when installing this item SImple bolt on upgrade,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02701-01-wpp1652802916274.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02701-01-wpp1652802916274.jpg,Main Image
1512a158,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02701-03.jpg,Gallery Image 1
