id,name,type,categ_id,default_code,barcode,list_price,standard_price,weight,description,image_1920,Extra Product Media/Image,Extra Product Media/Name
9115898c,Gravity Performance Outline Logo Decal – 12″ White On Black + Blue Triangle,GOODS,Merchandise,,,9.99,0.00,0.01,UK manufactured from the highest quality vinyl Perfectly crafted to fit each and every vehicle Represent the Gravity Performance team! Don't forget to tag us,https://www.gravityperformance.co.uk/wp-content/uploads/2022/05/GVSTICKER1.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/05/GVSTICKER1.jpg,Main Image
e7d6b0c5,Gravity Performance Retro Script Logo T-Shirt,GOODS,Merchandise,,,nan,0.00,0.01,"Clean, bold, and built for comfort, the Gravity Performance Logo Tee is more than just everyday gear. It represents a lifestyle. Show your passion for performance with a tee that delivers on both style and substance.",nan,nan,Main Image
260abbea,Gravity Performance Outline Logo Decal – 10″ White on Black,GOODS,Merchandise,,,7.99,0.00,0.01,UK Manufactured From the Highest Quality VInyl. Perfectly Crafted to Fit Each and Every Vehicle. Represent the Gravity Performance Team! Ideal for Track-Use or Daily Driving. Don't Forget to Tag us in Your Pictures and Use #gravityperformance,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/SSGV001-01.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/SSGV001-01.jpg,Main Image
260abbea,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/SSGV001-02.jpg,Gallery Image 1
00d4f4c1,Gravity Performance Logo T-Shirt,GOODS,Merchandise,,,nan,0.00,0.01,"Clean, bold, and built for comfort, the Gravity Performance Logo Tee is more than just everyday gear. It represents a lifestyle. Show your passion for performance with a tee that delivers on both style and substance.",nan,nan,Main Image
5c762fab,Gravity Performance Lanyard – Blue / Black,GOODS,Merchandise,,,6.99,0.00,0.01,The Gravity Performance Lanyard is the must have accessory for any Gravity Performance supporter or car enthusiast. Featuring the Gravity Performance Logo printed across its length. Built with a lobster-claw type clip and quick release for quick access and safe use for a wide variety of uses. Ideal use for your Keys or interior styling in your car!,https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/GVLAN001-03.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/GVLAN001-03.jpg,Main Image
5c762fab,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/GVLAN001-01.jpg,Gallery Image 1
5c762fab,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/GVLAN001-02.jpg,Gallery Image 2
5c762fab,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/GVLAN001-04.jpg,Gallery Image 3
5c762fab,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/GVLAN001-05.jpg,Gallery Image 4
5c762fab,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/GVLAN001-06.jpg,Gallery Image 5
5c762fab,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/GVLAN001-07.jpg,Gallery Image 6
5c762fab,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/GVLAN001-08.jpg,Gallery Image 7
2bff91e0,Gravity Performance Sunstrip – White / Blue on Black,GOODS,Merchandise,,,19.99,0.00,0.01,UK Manufactured From the Highest Quality VInyl. Perfectly Crafted to Fit Each and Every Vehicle. Represent the Gravity Performance Team! Ideal for Track-Use or Daily Driving. Don't Forget to Tag us in Your Pictures and Use #gravityperformance,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/gravity_sunstrip_listing_image.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/gravity_sunstrip_listing_image.jpg,Main Image
