id,name,type,categ_id,default_code,barcode,list_price,standard_price,weight,description,image_1920,Extra Product Media/Image,Extra Product Media/Name
d25bc429,Cold Air Induction Kit – Honda Civic EP2 1.6 00-05,GOODS,Air induction,,,99.99,0.00,0.01,High quality big bore cone type to provide up to 50% more surface area compared to the OEM airbox Engineered to help your engine breathe easier and improve power Easy installation and easy maintenance Improved intake sound,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02421-BK-01-wpp1652800795223.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02421-BK-01-wpp1652800795223.jpg,Main Image
d25bc429,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02421-BK-03.jpg,Gallery Image 1
d25bc429,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02421-BK-04.jpg,Gallery Image 2
d5c27040,Short Air Induction Kit – Seat Leon 05-12,GOODS,Air induction,,,119.99,0.00,0.01,High quality big bore cone type to provide up to 50% more surface area compared to the OEM airbox Engineered to help your engine breathe easier and improve power Easy installation and easy maintenance Improved intake sound Shield protects from dirt and heat in the engine bay     This Short Air Induction Kit compatible with Seat Leon 05-12 is both an excellent way to help your engine breathe easier and improve the look of your engine bay. Our Short Air Induction Kit is easy to install and and offers instant improvements in both the sound and performance of your engine.,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-BK-03.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-BK-03.jpg,Main Image
d5c27040,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-RED.jpg,Gallery Image 1
d5c27040,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/07/ZZ03702-BK-02.jpg,Gallery Image 2
8add49f9,Short Air Induction Kit – Audi A3 8P 04-13,GOODS,Air induction,,,114.99,0.00,0.01,"High quality big bore cone type filter to provide up to 50% more surface area compared to the OEM airbox Engineered to help your engine breathe easier and improve power Easy installation and easy maintenance Improved intake sound Shield protects from dirt and heat in the engine bay     Short Air Induction Kit compatible with Audi A3 8P 04-13, featuring a big bore filter with a greater surface area, is a cost-effective way to help maximise air flow into your engine. Gain noticeable benefits with this Short Air Induction Kit, with its heat shield protecting the engine bay from dirt and its easy maintenance meaning you can keep your engine bay looking great.",https://www.gravityperformance.co.uk/wp-content/uploads/2022/07/ZZ03702-BK-02.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/07/ZZ03702-BK-02.jpg,Main Image
8add49f9,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-RED.jpg,Gallery Image 1
8add49f9,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-BK-03.jpg,Gallery Image 2
fa23a832,Short Air Induction Kit – Volkswagen Golf MK6 08-13 – Black,GOODS,Air induction,,,114.99,0.00,0.01,"High quality big bore cone type to provide up to 50% more surface area compared to the OEM airbox Engineered to help your engine breathe easier and improve power Easy installation and easy maintenance Improved intake sound Shield protects from dirt and heat in the engine bay     The Short Air Induction Kit compatible with Volkswagen Golf MK6 08-13 models is an excellent way of improving both the power of your car and also the sound of it. Our Short Air Induction Kit features a bigger cone type air filter to improve air flow into the engine, producing significant performance gains.",https://www.gravityperformance.co.uk/wp-content/uploads/2022/07/ZZ03702-BK-02.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/07/ZZ03702-BK-02.jpg,Main Image
fa23a832,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-RED.jpg,Gallery Image 1
fa23a832,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-BK-03.jpg,Gallery Image 2
1a995eaf,Short Air Induction Kit – Volkswagen Golf MK5 04-09 – Black,GOODS,Air induction,,,114.99,0.00,0.01,"High quality big bore cone type to provide up to 50% more surface area compared to the OEM airbox Engineered to help your engine breathe easier and improve power Easy installation and easy maintenance Improved intake sound Shield protects from dirt and heat in the engine bay     Short Air Induction Kit compatible with Volkswagen Golf MK5 04-09 models helps your engine breathe, producing a better sound and more power from your Golf MK5. With this black Short Air Induction Kit, you can enhance the appearance of your engine bay whilst also improving performance.",https://www.gravityperformance.co.uk/wp-content/uploads/2022/07/ZZ03702-BK-02.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/07/ZZ03702-BK-02.jpg,Main Image
1a995eaf,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-RED.jpg,Gallery Image 1
1a995eaf,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-BK-03.jpg,Gallery Image 2
0fe8fc41,2.75″ / 70mm Performance Air Filter – Red/Black – Universal,GOODS,Air induction,,,19.99,0.00,0.01,"Our air filters replace the stock filter, increasing airflow for better performance and a more aggressive intake sound. Provide up to 50% more surface area compared to the OEM High quality cone filter offers greater filtration improve intake sound from your engine Easy Installation & Excellent aesthetic upgrade Free flowing 2.75"" inlet",https://www.gravityperformance.co.uk/wp-content/uploads/2025/03/AF16-01.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2025/03/AF16-01.jpg,Main Image
0fe8fc41,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2025/03/AF16-02.jpg,Gallery Image 1
0fe8fc41,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2025/03/AF16-03.jpg,Gallery Image 2
34be84c6,Short Air Induction Kit – Seat Leon 1P 1.6D 1.8 1.9D 2.0 05-12 – SIlver,GOODS,Air induction,,,114.99,0.00,0.01,"High quality big bore cone type to provide up to 50% more surface area compared to the OEM airbox Engineered to help your engine breathe easier and improve power Easy installation and easy maintenance Improved intake sound Shield protects from dirt and heat in the engine bay     Our Short Air Induction Kit compatible with Seat Leon 1P 05-12 finished in SIlver is easy to fit and is a great, simple modification to increase power and produce a nice intake sound. The larger surface area of the cone filter in the Short Air Induction Kit helps maximise air flow into the engine, improving throttle response.",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-03.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-03.jpg,Main Image
34be84c6,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-RED.jpg,Gallery Image 1
34be84c6,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-04.jpg,Gallery Image 2
226ed314,Short Air Induction Kit – Audi A3 8P 1.6D 1.8 1.9D 2.0 03-12 – Silver,GOODS,Air induction,,,114.99,0.00,0.01,"High quality big bore cone type to provide up to 50% more surface area compared to the OEM airbox Engineered to help your engine breathe easier and improve power Easy installation and easy maintenance Improved intake sound Shield protects from dirt and heat in the engine bay     Short Air Induction Kit compatible with Audi A3 8P 03-12 finished in silver, designed to help your engine breathe and releasing more power as a result. Our Short Air Induction Kit comes supplied with a large cone filter to maximise air intake.",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-01-wpp1652800532832.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-01-wpp1652800532832.jpg,Main Image
226ed314,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-RED.jpg,Gallery Image 1
226ed314,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-03.jpg,Gallery Image 2
a328bcd8,Short Air Induction Kit – Volkswagen Golf MK6 1.6D 1.8 1.9D 2.0 08-13 – SIlver,GOODS,Air induction,,,114.99,0.00,0.01,"High quality big bore cone type to provide up to 50% more surface area compared to the OEM airbox Engineered to help your engine breathe easier and improve power Easy installation and easy maintenance Improved intake sound Shield protects from dirt and heat in the engine bay     Our Short Air Induction Kit compatible with Volkswagen Golf MK6 08-13, is perfect for both increasing power and producing a nice intake sound from your car. By helping your GTI to breathe easier, our Short Air Induction Kit noticeably improves throttle response and torque.",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-03.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-03.jpg,Main Image
a328bcd8,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-RED.jpg,Gallery Image 1
a328bcd8,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03702-01-wpp1652800532832.jpg,Gallery Image 2
