id,name,type,categ_id,default_code,barcode,list_price,standard_price,weight,description,image_1920,Extra Product Media/Image,Extra Product Media/Name
b9873514,Quad Exit Rear Diffuser Gloss Black with Chrome Tips – Mercedes A Class W177 18+,GOODS,Body Styling,,,169.99,0.00,0.01,Gravity Performance rear diffusers are specifically designed to improve your Mercedes' aesthetics with distinctive styling. Our rear diffusers complement your Mercedes' other styling elements and pair well with our range of splitters and side skirts. Finished in gloss black ready to be fitted Includes a chrome quad tip exhaust conversion kit Adds to the overall styling of your A Class with bold aesthetics Designed to be a direct fit to your A Class for a hassle free installation Manufactured from OEM grade materials for long lasting strength and durability,https://www.gravityperformance.co.uk/wp-content/uploads/2025/06/BARD012-01.5-1.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2025/06/BARD012-01.5-1.jpg,Main Image
b9873514,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2025/06/BARD012-02-1.jpg,Gallery Image 1
b9873514,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2025/06/BARD012-07-1.jpg,Gallery Image 2
c79a246f,Dynamic LED Side Indicator Lamps – Volkswagen Transporter T6 16-19,GOODS,Body Styling,,,34.99,0.00,0.01,"Gravity Performance side indicators are designed to replace the OEM lamps with an fresh aggressive styling. Our Gravity Performance indicator lights are made from high quality materials and designed to be simple and easy to install.   Straightforward and easy to install Direct replacement for the OEM lights Replace your tired, scratched and faded lenses The perfect aesthetic upgrade for your Transit Custom Constructed from high-grade OEM materials for lasting durability",https://www.gravityperformance.co.uk/wp-content/uploads/2025/07/50-50-solid-2.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2025/07/50-50-solid-2.jpg,Main Image
c79a246f,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2025/07/SHSL001-01.jpg,Gallery Image 1
c79a246f,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2025/07/SHSL001-02.jpg,Gallery Image 2
6418cb7a,LED Side Indicator Lamps – Volkswagen Transporter T6.1 19-24,GOODS,Body Styling,,,29.99,0.00,0.01,"Gravity Performance side indicators are designed to replace the OEM lamps with an fresh aggressive styling. Our Gravity Performance indicator lights are made from high quality materials and designed to be simple and easy to install.   Straightforward and easy to install Direct replacement for the OEM lights Replace your tired, scratched and faded lenses The perfect aesthetic upgrade for your Transporter Constructed from high-grade OEM materials for lasting durability",https://www.gravityperformance.co.uk/wp-content/uploads/2025/07/50-50-14.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2025/07/50-50-14.jpg,Main Image
6418cb7a,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2025/07/SHSL002-01.jpg,Gallery Image 1
6418cb7a,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2025/07/SHSL002-02.jpg,Gallery Image 2
4b57a9a6,Gloss Black M Sport Look Kidney Grilles – BMW 3 Series E92 E93 05-09,GOODS,Body Styling,,,19.99,0.00,0.01,"Our grilles are designed to directly replace the OEM grille improving your vehicles look, while being made from the best quality materials for added strength and durability. Manufactured from highest quality automotive grade plastics Designed as a direct replacement for the OEM item Instantly improves the appearance of your car, giving it a sporty look Please note fitting instructions are NOT included We recommend all styling components are fitted by a qualified professional to ensure accurate fitment",https://www.gravityperformance.co.uk/wp-content/uploads/2024/11/SHGR014-01-copy.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2024/11/SHGR014-01-copy.jpg,Main Image
4b57a9a6,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2024/11/SHGR014-08.jpg,Gallery Image 1
4b57a9a6,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2024/11/SHGR014-06.jpg,Gallery Image 2
