id,name,type,categ_id,default_code,barcode,list_price,standard_price,weight,description,image_1920,Extra Product Media/Image,Extra Product Media/Name
47bac6c8,Rear Grooved Drilled 280mm Brake Discs – Volvo V50 1.6 1.8 2.0 2.4 D3 D4 T5,GOODS,Brake Discs,,,59.99,0.00,0.01,Features:,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDFORD005-01.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDFORD005-01.jpg,Main Image
47bac6c8,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/Gravity-Website-28.jpg,Gallery Image 1
47bac6c8,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDFORD005-03.jpg,Gallery Image 2
d52f6d2b,Front Drilled Grooved 277mm Brake Discs – Subaru Impreza WRX Legacy 92-12,GOODS,Brake Discs,,,74.99,0.00,0.01,Specifications:,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDTOYO005-01-copy-1.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDTOYO005-01-copy-1.jpg,Main Image
d52f6d2b,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/Gravity-Website-67.jpg,Gallery Image 1
d52f6d2b,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDTOYO005-04-1.jpg,Gallery Image 2
71b47118,Front Drilled Grooved 312mm Brake Discs – VW Golf MK4 1.8T GTI V5 2.8 V6 R32,GOODS,Brake Discs,,,74.99,0.00,0.01,Specifications:,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDVOLK013-01-1.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDVOLK013-01-1.jpg,Main Image
71b47118,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/Gravity-Website-75.jpg,Gallery Image 1
71b47118,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDVOLK013-02.jpg,Gallery Image 2
5059f41c,Front Drilled Grooved 323mm Brake Discs – Nissan 350Z Z33 Fairlady 3.5 03-06,GOODS,Brake Discs,,,79.99,0.00,0.01,Features:,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDNISS006-01.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDNISS006-01.jpg,Main Image
5059f41c,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDNISS006-GRAV-WEBSITE.jpg,Gallery Image 1
5059f41c,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDNISS006-02.jpg,Gallery Image 2
45543c3f,Front Drilled Grooved Vented 307mm Brake Discs – BMW G20 G21 330 Touring 19+,GOODS,Brake Discs,,,59.99,0.00,0.01,Specifications:,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDBMW056-01-1.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDBMW056-01-1.jpg,Main Image
45543c3f,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/Gravity-Website-24.jpg,Gallery Image 1
45543c3f,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDBMW056-02.jpg,Gallery Image 2
ec102784,Rear Drilled Grooved 300mm Brake Discs – Audi Q5 Sq5 A4 B8 Allroad 08+,GOODS,Brake Discs,,,69.99,0.00,0.01,Specifications:,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDAUDI007-01-1.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDAUDI007-01-1.jpg,Main Image
ec102784,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDAUDI007-gravity-website.jpg,Gallery Image 1
ec102784,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDAUDI007-02.jpg,Gallery Image 2
67e75e2e,Front Drilled Grooved 288mm Brake Discs – Audi A3 8P 8V 2008+,GOODS,Brake Discs,,,64.99,0.00,0.01,Specifications:,https://www.gravityperformance.co.uk/wp-content/uploads/2023/02/BDVOLK011-01-2.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2023/02/BDVOLK011-01-2.jpg,Main Image
67e75e2e,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2023/02/BDVOLK011-GRAV-website.jpg,Gallery Image 1
67e75e2e,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2023/02/BDVOLK011-02.jpg,Gallery Image 2
7a6c122d,Rear Drilled Grooved 326mm Brake Disc Pair – BMW 3 Series E46 M3 3.2 00-06,GOODS,Brake Discs,,,84.99,0.00,0.01,Specifications:,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDBMW045-01-1.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDBMW045-01-1.jpg,Main Image
7a6c122d,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/BDBMW045-gravity-website.jpg,Gallery Image 1
