id,name,type,categ_id,default_code,barcode,list_price,standard_price,weight,description,image_1920,Extra Product Media/Image,Extra Product Media/Name
45b63c55,Front Chassis Brace – Mazda MX-5 MK1 NA / MK2 NB 1.6 1989-2005,GOODS,Chassis & Drivetrain,,,59.99,0.00,0.01,Lower brace connects both lower control arms where there is no bracing or subframe in-between to reduce flex Manufactured from highest quality and strength aluminium to help reduce weight without compromising strength Designed to reduce chassis flex to improve steering response and stability Please ensure the vehicle is parked on a level surface when installing this item SImple bolt on upgrade,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02698-01-wpp1652802156209.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02698-01-wpp1652802156209.jpg,Main Image
45b63c55,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02698-02.jpg,Gallery Image 1
45b63c55,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02698-03.jpg,Gallery Image 2
4a9be986,Front Strut Brace – Mazda MX5 MK1 NA 1989-1997,GOODS,Chassis & Drivetrain,,,64.99,0.00,0.01,Manufactured from highest quality and strength steel and aluminium to help reduce weight without compromising strength Designed to reduce chassis flex to improve steering response and stability Noticeably enhances steering response Please ensure the vehicle is parked on a level surface when installing this item SImple bolt on upgrade,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00524-01-wpp1652801314775.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00524-01-wpp1652801314775.jpg,Main Image
4a9be986,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00524-03.jpg,Gallery Image 1
4a9be986,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00524-04.jpg,Gallery Image 2
84094f56,Front & Rear Strut Brace Set – Mazda MX5 MK1 MK2 1.6 89-01,GOODS,Chassis & Drivetrain,,,89.99,0.00,0.01,Manufactured from highest quality and strength aluminium/steel to help reduce weight without compromising strength Designed to reduce chassis flex to improve steering response and stability Noticeably enhances steering response Please ensure the vehicle is parked on a level surface when installing these items SImple bolt on upgrade,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/s-l1600-7-2-wpp1652801011377.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/s-l1600-7-2-wpp1652801011377.jpg,Main Image
84094f56,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/KIT0576-03.jpg,Gallery Image 1
84094f56,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/KIT0576-08.jpg,Gallery Image 2
5ce8920b,Engine Pulley Set – Volkswagen Golf MK3 & MK4 2.8 VR6 91-99,GOODS,Chassis & Drivetrain,,,84.99,0.00,0.01,Manufactured from highest quality 6061-T6 aluminium to reduce weight without compromising strength Designed to reduce the rotating mass to improve throttle response and allow the engines to rev faster New belts are recommended when fitting under-drive pulleys Direct bolt on replacement in place of the old pulleys,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02693-01-1-wpp1652803140704.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02693-01-1-wpp1652803140704.jpg,Main Image
5ce8920b,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02693-06-1.jpg,Gallery Image 1
5ce8920b,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02693-03-1.jpg,Gallery Image 2
14febd31,Short Shifter – Mazda MX5 NA MK1 1.6 1.8 1989-1998,GOODS,Chassis & Drivetrain,,,29.99,0.00,0.01,Gravity Performance Short Shifters are precision designed and manufactured from CNC machined billet. Quicker shifts result in better performance as the distance is decreased between the pivot point and gear knob. Manufactured from highest quality CNC machined billet aluminium Strong bearings to increase durability and lifespan Designed to reduce gear throw by up to as much as 40% and give you a faster shift throw through the gears Please note fitting instructions are not included Direct replacement for the OEM equivalent,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00671-01-wpp1652800570565.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00671-01-wpp1652800570565.jpg,Main Image
14febd31,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00671-03.jpg,Gallery Image 1
14febd31,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00671-04.jpg,Gallery Image 2
b219f4fd,Front Strut Brace – BMW 3 Series E36 6 Cylinder models,GOODS,Chassis & Drivetrain,,,59.99,0.00,0.01,Manufactured from highest quality and strength aluminium to help reduce weight without compromising strength Designed to reduce chassis flex to improve steering response and stability Noticeably enhances steering response Please ensure the vehicle is parked on a level surface when installing this item SImple bolt on upgrade,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00555-01-wpp1652802203762.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00555-01-wpp1652802203762.jpg,Main Image
b219f4fd,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00555-02.jpg,Gallery Image 1
b219f4fd,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00555-03.jpg,Gallery Image 2
b53f07be,Black Front Strut Brace – BMW 5 Series E60 E61 03-10,GOODS,Chassis & Drivetrain,,,104.99,0.00,0.01,"Gravity Performance Strut Braces solidly mount two parts of your car together, where there would otherwise be flex. All of our braces mount to OEM fixings making installation smooth and quick. Manufactured from highest quality and strength alloy to help reduce weight without compromising strength Designed to reduce chassis flex to improve steering response and stability Noticeably enhances steering response Please ensure the vehicle is parked on a level surface when installing this item SImple bolt on upgrade",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/DGSB006-01-1-wpp1652802890506.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/DGSB006-01-1-wpp1652802890506.jpg,Main Image
b53f07be,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/DGSB006-03.jpg,Gallery Image 1
b53f07be,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/DGSB006-04.jpg,Gallery Image 2
72287ebb,Rear Subframe Brace – Mazda MX-5 MK1 NA 1.6 1.8 1989-1998,GOODS,Chassis & Drivetrain,,,49.99,0.00,0.01,Manufactured from highest quality and strength aluminium to help reduce weight without compromising strength Rear subframe brace to reduce any flex in the subframe. Improving rigidity and cornering feel Bolts to rear lower arm mounts behind the diff. Further increasing suspension rigidity Please ensure the vehicle is parked on a level surface when installing this item SImple bolt on upgrade,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02701-01-wpp1652802916274.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02701-01-wpp1652802916274.jpg,Main Image
72287ebb,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02701-03.jpg,Gallery Image 1
72287ebb,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02701-04.jpg,Gallery Image 2
1a13a765,Short Shifter – Subaru Impreza GC8 Classic / GDA Bugeye 93-03,GOODS,Chassis & Drivetrain,,,49.99,0.00,0.01,Gravity Performance Short Shifters are precision designed and manufactured from CNC machined billet. Quicker shifts result in better performance as the distance is decreased between the pivot point and gear knob. Manufactured from durable steel and aluminium Durable bearings to extend lifespan Designed to reduce gear throw by up to as much as 40% and give you a faster shift throw through the gears Please note fitting instructions are not included Easy to install upgrade,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00683-BK-02.5-wpp1652802939521.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00683-BK-02.5-wpp1652802939521.jpg,Main Image
1a13a765,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00683-BK-03.jpg,Gallery Image 1
1a13a765,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00683-BK-04.jpg,Gallery Image 2
4140a147,Front Strut Brace – BMW 3 Series E36 Coupe 90-00,GOODS,Chassis & Drivetrain,,,59.99,0.00,0.01,Manufactured from highest quality and strength aluminium to help reduce weight without compromising strength Designed to reduce chassis flex to improve steering response and stability Noticeably enhances steering response Please ensure the vehicle is parked on a level surface when installing this item SImple bolt on upgrade,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00520-01-1-wpp1652802985617.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00520-01-1-wpp1652802985617.jpg,Main Image
4140a147,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00520-03.jpg,Gallery Image 1
4140a147,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00520-08.jpg,Gallery Image 2
