id,name,type,categ_id,default_code,barcode,list_price,standard_price,weight,description,image_1920,Extra Product Media/Image,Extra Product Media/Name
6f5f34aa,40mm High Flow Radiator – Toyota MR2 SW20 2.0 90-95,GOODS,Cooling,,,169.99,0.00,0.01,"Twin aluminium core will achieve up to 30% greater cooling capability than OEM Black coating designed to optimise heat dissipation, resulting in consistent lower temps Great upgrade to ensure the cooling system is operating at it's best at all time More water volume within a channel means greater cooling efficiency Designed to be a direct replacement for ease of fitment",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01316A-BK-01-wpp1652859828800.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01316A-BK-01-wpp1652859828800.jpg,Main Image
6f5f34aa,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01316A-BK-02.jpg,Gallery Image 1
6f5f34aa,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01316A-BK-03.jpg,Gallery Image 2
d8864cd5,12″ Universal Straight Blade Fan Kit,GOODS,Cooling,,,29.99,0.00,0.01,"Air Flow Rate: >1130 CBM/Hr - Giving great cooling capability. Speed: 2100 RPM - Compact but fast. 12VDC, 7 Amps, 80W, 2150 CFM - Powerful motor. Most fans are designed for one-way air flow, the unique fan blade design and reversible motor allows you to pull or push the air with equal velocity. The lightweight ABS plastic slim fans measure only 2.5""at the deepest point; perfect for cramped areas.",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00088C-01-wpp1652862546968.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00088C-01-wpp1652862546968.jpg,Main Image
d8864cd5,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00088C-04.jpg,Gallery Image 1
d8864cd5,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00088C-05.jpg,Gallery Image 2
26e3c773,Aluminium Front Turbo Muffler Delete Hard Pipe Hose Ford Fiesta MK7 1.0 Ecoboost Zetec S 13+,GOODS,Cooling,,,49.99,0.00,0.01,"Manufactured from highest quality and strength aluminium to help reduce weight without compromising strength Designed as a direct replacement for a quick, easy installation Removes the stock turbo muffler giving louder turbo noises and streamlines air flow from the turbo Designed to streamline airflow compared to the OEM setup Aluminium pipework provides significantly improved reliability over OEM plastic which is prone to cracks with age and heat cycles",https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/AIIP008-03-1.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/AIIP008-03-1.jpg,Main Image
26e3c773,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/AIIP008-05.jpg,Gallery Image 1
26e3c773,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/AIIP008-06.jpg,Gallery Image 2
84a0c83c,Aluminium Turbo Muffler Delete – Ford Fiesta MK7 MK8 1.0 Ecoboost Zetec S 13+,GOODS,Cooling,,,49.99,0.00,0.01,"Manufactured from highest quality and strength aluminium to help reduce weight without compromising strength Designed as a direct replacement for a quick, easy installation Removes the stock turbo muffler giving louder turbo noises and streamlines air flow from the turbo Designed to streamline airflow compared to the OEM setup Aluminium pipework provides significantly improved reliability over OEM plastic which is prone to cracks with age and heat cycles",https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/AIIP008-03-1.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/AIIP008-03-1.jpg,Main Image
84a0c83c,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/AIIP008-05.jpg,Gallery Image 1
84a0c83c,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/AIIP008-06.jpg,Gallery Image 2
9406db19,Aluminium Front Turbo Muffler Delete Pipe Ford Fiesta MK8 1.0 Ecoboost Zetec S 17+,GOODS,Cooling,,,49.99,0.00,0.01,"Manufactured from highest quality and strength aluminium to help reduce weight without compromising strength Designed as a direct replacement for a quick, easy installation Removes the stock turbo muffler giving louder turbo noises and streamlines air flow from the turbo Designed to streamline airflow compared to the OEM setup Aluminium pipework provides significantly improved reliability over OEM plastic which is prone to cracks with age and heat cycles",https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/AIIP008-03-1.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/AIIP008-03-1.jpg,Main Image
9406db19,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/AIIP008-fitted.jpg,Gallery Image 1
9406db19,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/AIIP008-fitted-2.jpg,Gallery Image 2
459e2301,Front Mount Intercooler & Intake Kit – Subaru Impreza Shark Eye / Legacy GRB WRX STI 08-11,GOODS,Cooling,,,474.99,0.00,0.01,"Gravity Performance Front Mount Intercoolers are a perfect addition to your vehicle, offering greater cooling efficiency with their high-flow end tanks and bar-and-plate cores. Manufactured from lightweight and durable aluminium, our intercoolers offer maximum performance without adding unnecessary weight to your build. Durable bar-and-plate core for superior durability and performance Full kit designed to optimise and streamline all air flow into the turbo and engine for additional power and power capabilities Black Intercoolers optimise heat dissipation, resulting in consistently lower temps Full bolt-on kit for ease of installation and maintenance 1050cfm @ 0.5 psi drop",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/KIT0025-01-wpp1652800549292.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/KIT0025-01-wpp1652800549292.jpg,Main Image
459e2301,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/KIT0025-03.jpg,Gallery Image 1
459e2301,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/KIT0025-04.jpg,Gallery Image 2
0e3731f3,Aluminium Top Mount Charge Cooler – BMW M4 F82 F83 S55 14-20,GOODS,Cooling,,,294.99,0.00,0.01,"Gravity Performance Charge Coolers are a perfect addition to your vehicle, offering greater cooling efficiency with their high flow tube-and-fin cores. Manufactured from lightweight and durable aluminium, our radiators offer maximum performance without adding unnecessary weight to your build. Manufactured from high strength, lightweight aluminium Durable tube-and-fin core for superior durability and performance Engineered to maximise cooling capacity and increase power Performance charge cooler designed to be a direct replacement for the OEM part Designed to support higher boost levels without compromising cooling efficiency",https://www.gravityperformance.co.uk/wp-content/uploads/2025/08/COIC105-06.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2025/08/COIC105-06.jpg,Main Image
0e3731f3,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2025/08/COIC105-01.jpg,Gallery Image 1
0e3731f3,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2025/08/COIC105-08.jpg,Gallery Image 2
