id,name,type,categ_id,default_code,barcode,list_price,standard_price,weight,description,image_1920,Extra Product Media/Image,Extra Product Media/Name
60947b6f,Rear Toe Control Arms – BMW 1 Series E81 / E82 / E87 / E88 04-11,GOODS,Suspension,,,89.99,0.00,0.01,"Gravity Performance suspension components are the perfect replacement for the OEM setup, offering improved reliability and quality making them ideal for your drift or track car. Adjustable suspension control arm kit designed to directly replace the standard units Fully adjustable to suit your desired configuration Spherical bearing mounted inner pivot points rather than bushes to reduce static friction and improve suspension performance Significantly improves suspension geometry when set up correctly Durable black finish to increase lifespan",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/WDSA009-0-wpp1652864986806.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/WDSA009-0-wpp1652864986806.jpg,Main Image
60947b6f,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/WDSA009-02.jpg,Gallery Image 1
60947b6f,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/WDSA009-03.jpg,Gallery Image 2
0edfe2ef,Adjustable Front Tension Rods – Toyota JZX100 / JZX90 / Lexus IS200 / IS300 98-05,GOODS,Suspension,,,204.99,0.00,0.01,"Adjustable suspension control arm kit designed to directly replace the standard units Allows for caster adjustment, vital for drift cars Bearing mounted inner pivot points rather than bushes to reduce static friction and improve suspension performance SIgnificantly improves suspension geometry when set up correctly Durable black finish to increase lifespan",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/WDSA029-0-wpp1652864725884.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/WDSA029-0-wpp1652864725884.jpg,Main Image
0edfe2ef,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/WDSA029-08.jpg,Gallery Image 1
0edfe2ef,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/WDSA029-06.jpg,Gallery Image 2
2c1ffda9,Adjustable Rear Upper Camber Arms – Honda Civic EP2 EP3 Type R / Integra DC5 01-05,GOODS,Suspension,,,89.99,0.00,0.01,Fully adjustable suspension control arm kit designed to directly replace the standard units Essential for dialling in rear camber when lowering a car Polyurethane bush to improve compliance on the road SIgnificantly improves suspension geometry when set up correctly Durable black finish to increase lifespan,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/WDSA033-0-wpp1652864948304.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/WDSA033-0-wpp1652864948304.jpg,Main Image
2c1ffda9,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/WDSA033-08.jpg,Gallery Image 1
2c1ffda9,,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/WDSA033-07.jpg,Gallery Image 2
9cd725f5,Rear Anti-Roll Bar Drop Links – Nissan Silvia 200SX S13 / S14 / S15 89-02,GOODS,Suspension,,,29.99,0.00,0.01,"Gravity Performance drop links are fully adjustable, allowing greater geometric adjustment than the OEM arm and helping you achieve the perfect set up for track or road use. Designed to directly replace the standard rear anti roll bar drop links Designed with Polyurethane bushes to increase lifespan and durability Ideal if your car has been lowered or if you have fitted uprated anti roll bars SImple easy upgrade to replace old worn bushes",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/WDDL002-01-1.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/WDDL002-01-1.jpg,Main Image
